year,life_exp,gdp_per_capita,health_exp_gdp,health_exp_percap,pm25,urban_pop_pct,pop_65_plus_pct,unemployment,med_beds,infant_mortality,total_fertility,life_exp_next_year,gdp_per_capita_lag1,health_exp_gdp_lag1,health_exp_percap_lag1,pm25_lag1,urban_pop_pct_lag1,pop_65_plus_pct_lag1,unemployment_lag1,med_beds_lag1,infant_mortality_lag1,total_fertility_lag1,gdp_per_capita_pct_change,health_exp_gdp_pct_change,health_exp_percap_pct_change,pm25_pct_change,urban_pop_pct_pct_change,pop_65_plus_pct_pct_change,unemployment_pct_change,med_beds_pct_change,infant_mortality_pct_change,total_fertility_pct_change
1995,70.363,1545.19429404212,4.47202611,261.947921755,48.8805895286948,29.0403804779053,6.05307366965255,3.0,2.6099998951,38.7,1.588,70.823,4811.47471804961,4.47202611,261.947921755,49.6573356023741,46.9895057678223,8.35535290441098,4.52,2.5499999523,14.8,1.624,0.0773418016479303,0.0076460574793906,0.1270807336964619,0.0,0.0287766285758481,0.0284110831016783,0.0044150110375273,0.04,-0.0791366906474819,0.0019193857965451
1996,70.823,1681.62743528935,4.47202611,261.947921755,49.0813804747361,30.4798641204834,6.22504804870163,3.12,2.5499999523,37.2,1.554,71.227,1545.19429404212,4.47202611,261.947921755,48.8805895286948,29.0403804779053,6.05307366965255,3.0,2.6099998951,38.7,1.588,0.0882951365878594,0.0,0.0,0.0041077848687449,0.0495683465191958,0.0284110831016783,0.04,-0.0229884847553609,-0.0387596899224805,-0.0214105793450881
1997,71.227,1819.09789302268,4.47202611,261.947921755,49.3486255923044,31.9099540710449,6.4010690329891,3.23,2.5499999523,35.6,1.527,71.601,1681.62743528935,4.47202611,261.947921755,49.0813804747361,30.4798641204834,6.22504804870163,3.12,2.5499999523,37.2,1.554,0.0817484627382261,0.0,0.0,0.0054449388950228,0.0469191707977607,0.0282762450844347,0.0352564102564101,0.0,-0.0430107526881721,-0.0173745173745174
1998,71.601,1944.43719705771,4.47202611,261.947921755,49.6573356023741,33.3501663208008,6.60294649523664,3.24,2.5299999714,33.8,1.522,71.952,1819.09789302268,4.47202611,261.947921755,49.3486255923044,31.9099540710449,6.4010690329891,3.23,2.5499999523,35.6,1.527,0.0689019016050651,0.0,0.0,0.0062556962096598,0.0451336359353382,0.0315380854677753,0.0030959752321981,-0.0078431299114184,-0.0505617977528091,-0.0032743942370661
1999,71.952,2076.81812919622,4.47202611,261.947921755,49.9825212259198,34.7797050476074,6.8145142714138,3.25,2.5199999809,31.9,1.53,72.288,1944.43719705771,4.47202611,261.947921755,49.6573356023741,33.3501663208008,6.60294649523664,3.24,2.5299999714,33.8,1.522,0.0680818759993002,0.0,0.0,0.0065485918565906,0.0428645156685465,0.0320414191345914,0.0030864197530864,-0.0039525654597009,-0.0562130177514792,0.0052562417871222
2000,72.288,2237.44298500334,4.4535861,42.80797577,50.299193183916,36.4320234662299,7.01747574076251,3.26,1.71,30.0,1.628,72.675,2076.81812919622,4.47202611,261.947921755,49.9825212259198,34.7797050476074,6.8145142714138,3.25,2.5199999809,31.9,1.53,0.0773418016479303,-0.0041234128662097,-0.2085058970029652,0.0063356539492047,0.047508120507657,0.0297837030292993,0.0030769230769229,-0.0727769339573489,-0.0595611285266457,0.04104580801935229
2001,72.675,2405.89396743215,4.19752026,44.36042023,50.6280489574036,37.6597442626953,7.21351682273765,3.8,1.69,27.8,1.563,73.034,2237.44298500334,4.4535861,42.80797577,50.299193183916,36.4320234662299,7.01747574076251,3.26,1.71,30.0,1.628,0.0752872737128356,-0.0574965509255562,0.0362653087906099,0.0065379930108451,0.0336989461374115,0.0279361253557874,0.1127932291884968,-0.0116959064327485,-0.0733333333333333,-0.034857808071119815
2002,73.034,2610.72960252379,4.32156181,49.92394638,50.9679256961335,39.0897827148438,7.40162875834336,4.24,1.73,25.6,1.566,73.385,2405.89396743215,4.19752026,44.36042023,50.6280489574036,37.6597442626953,7.21351682273765,3.8,1.69,27.8,1.563,0.0851390950160053,0.0295511498019547,0.1254164437837652,0.0067132102802511,0.0379726012522356,0.0260777011031241,0.1127932291884968,0.0236686390532545,-0.0791366906474819,0.0019193857965451
2003,73.385,2857.0373538115,4.35460472,56.54468155,51.2610436241453,40.5302314758301,7.57962663220469,4.58,1.75,23.5,1.57,73.727,2610.72960252379,4.32156181,49.92394638,50.9679256961335,39.0897827148438,7.40162875834336,4.24,1.73,25.6,1.566,0.0943444127839223,0.0076460574793906,0.1326164225801736,0.0057510272197331,0.0368497510332619,0.024048473609364,0.080188679245283,0.0115606936416186,-0.08203125,0.0025542784163474
2004,73.727,3127.86276523632,4.22949076,64.28150177,51.4496229654785,41.7600135803223,7.73725110121901,4.49,1.82,21.3,1.605,74.085,2857.0373538115,4.35460472,56.54468155,51.2610436241453,40.5302314758301,7.57962663220469,4.58,1.75,23.5,1.57,0.0947923943183726,-0.0287314160629487,0.1368266653541707,0.0036788041756599,0.030342341006011,0.0207958091688311,-0.019650655021834,0.04,-0.0936170212765957,0.0222929936305731
