year,life_exp,gdp_per_capita,health_exp_gdp,health_exp_percap,pm25,urban_pop_pct,pop_65_plus_pct,unemployment,med_beds,infant_mortality,total_fertility,life_exp_next_year,gdp_per_capita_lag1,health_exp_gdp_lag1,health_exp_percap_lag1,pm25_lag1,urban_pop_pct_lag1,pop_65_plus_pct_lag1,unemployment_lag1,med_beds_lag1,infant_mortality_lag1,total_fertility_lag1,gdp_per_capita_pct_change,health_exp_gdp_pct_change,health_exp_percap_pct_change,pm25_pct_change,urban_pop_pct_pct_change,pop_65_plus_pct_pct_change,unemployment_pct_change,med_beds_pct_change,infant_mortality_pct_change,total_fertility_pct_change
1995,70.363,1545.19429404212,4.47202611,261.947921755,48.8805895286948,29.0403804779053,6.05307366965255,3.0,2.6099998951,38.7,1.588,70.823,4811.47471804961,4.47202611,261.947921755,49.6573356023741,46.9895057678223,8.35535290441098,4.52,2.5499999523,14.8,1.624,0.07734180164793036,0.007646057479390622,0.1270807336964619,0.0,0.028776628575848173,0.02841108310167839,0.004415011037527394,0.040000000000000036,-0.07913669064748197,0.0019193857965451588
1996,70.823,1681.62743528935,4.47202611,261.947921755,49.0813804747361,30.4798641204834,6.22504804870163,3.12,2.5499999523,37.2,1.554,71.227,1545.19429404212,4.47202611,261.947921755,48.8805895286948,29.0403804779053,6.05307366965255,3.0,2.6099998951,38.7,1.588,0.08829513658785948,0.0,0.0,0.004107784868744968,0.04956834651919584,0.02841108310167839,0.040000000000000036,-0.02298848475536097,-0.03875968992248058,-0.021410579345088165
1997,71.227,1819.09789302268,4.47202611,261.947921755,49.3486255923044,31.9099540710449,6.4010690329891,3.23,2.5499999523,35.6,1.527,71.601,1681.62743528935,4.47202611,261.947921755,49.0813804747361,30.4798641204834,6.22504804870163,3.12,2.5499999523,37.2,1.554,0.08174846273822611,0.0,0.0,0.005444938895022844,0.046919170797760756,0.028276245084434715,0.03525641025641013,0.0,-0.043010752688172116,-0.01737451737451745
1998,71.601,1944.43719705771,4.47202611,261.947921755,49.6573356023741,33.3501663208008,6.60294649523664,3.24,2.5299999714,33.8,1.522,71.952,1819.09789302268,4.47202611,261.947921755,49.3486255923044,31.9099540710449,6.4010690329891,3.23,2.5499999523,35.6,1.527,0.06890190160506515,0.0,0.0,0.006255696209659822,0.04513363593533826,0.03153808546777537,0.003095975232198178,-0.007843129911418445,-0.05056179775280911,-0.0032743942370661028
1999,71.952,2076.81812919622,4.47202611,261.947921755,49.9825212259198,34.7797050476074,6.8145142714138,3.25,2.5199999809,31.9,1.53,72.288,1944.43719705771,4.47202611,261.947921755,49.6573356023741,33.3501663208008,6.60294649523664,3.24,2.5299999714,33.8,1.522,0.06808187599930027,0.0,0.0,0.006548591856590624,0.04286451566854654,0.032041419134591465,0.0030864197530864335,-0.0039525654597009074,-0.056213017751479244,0.005256241787122251
2000,72.288,2237.44298500334,4.4535861,42.80797577,50.299193183916,36.4320234662299,7.01747574076251,3.26,1.71,30.0,1.628,72.675,2076.81812919622,4.47202611,261.947921755,49.9825212259198,34.7797050476074,6.8145142714138,3.25,2.5199999809,31.9,1.53,0.07734180164793036,-0.0041234128662097635,-0.836578295856692,0.006335653949204767,0.04750812050765707,0.029783703029299335,0.003076923076922977,-0.3214285662854308,-0.059561128526645746,0.06405228758169934
2001,72.675,2405.89396743215,4.19752026,44.36042023,50.6280489574036,37.6597442626953,7.21351682273765,3.8,1.69,27.8,1.563,73.034,2237.44298500334,4.4535861,42.80797577,50.299193183916,36.4320234662299,7.01747574076251,3.26,1.71,30.0,1.628,0.07528727371283561,-0.05749655092555628,0.03626530879060996,0.006537993010845122,0.033698946137411534,0.02793612535578749,0.16564417177914104,-0.011695906432748537,-0.07333333333333336,-0.03992628992628988
2002,73.034,2610.72960252379,4.32156181,49.92394638,50.9679256961335,39.0897827148438,7.40162875834336,4.24,1.73,25.6,1.566,73.385,2405.89396743215,4.19752026,44.36042023,50.6280489574036,37.6597442626953,7.21351682273765,3.8,1.69,27.8,1.563,0.08513909501600536,0.029551149801954724,0.12541644378376526,0.006713210280251181,0.03797260125223567,0.02607770110312413,0.11578947368421066,0.02366863905325456,-0.07913669064748197,0.0019193857965451588
2003,73.385,2857.0373538115,4.35460472,56.54468155,51.2610436241453,40.5302314758301,7.57962663220469,4.58,1.75,23.5,1.57,73.727,2610.72960252379,4.32156181,49.92394638,50.9679256961335,39.0897827148438,7.40162875834336,4.24,1.73,25.6,1.566,0.09434441278392236,0.007646057479390622,0.1326164225801736,0.005751027219733196,0.036849751033261935,0.02404847360936402,0.08018867924528306,0.011560693641618602,-0.08203125,0.0025542784163474774
2004,73.727,3127.86276523632,4.22949076,64.28150177,51.4496229654785,41.7600135803223,7.73725110121901,4.49,1.82,21.3,1.605,74.085,2857.0373538115,4.35460472,56.54468155,51.2610436241453,40.5302314758301,7.57962663220469,4.58,1.75,23.5,1.57,0.09479239431837261,-0.02873141606294871,0.13682666535417076,0.003678804175659911,0.030342341006011075,0.02079580916883117,-0.01965065502183405,0.040000000000000036,-0.09361702127659577,0.022292993630573132
