feature,importance
urban_pop_pct,0.39680478
life_exp,0.2899167
gdp_per_capita,0.24652031
health_exp_gdp,0.03815622
pm25,0.028601943
health_exp_percap,0.0
pop_65_plus_pct,0.0
unemployment,0.0
med_beds,0.0
infant_mortality,0.0
total_fertility,0.0
gdp_per_capita_lag1,0.0
health_exp_gdp_lag1,0.0
health_exp_percap_lag1,0.0
pm25_lag1,0.0
urban_pop_pct_lag1,0.0
pop_65_plus_pct_lag1,0.0
unemployment_lag1,0.0
med_beds_lag1,0.0
infant_mortality_lag1,0.0
total_fertility_lag1,0.0
gdp_per_capita_pct_change,0.0
health_exp_gdp_pct_change,0.0
health_exp_percap_pct_change,0.0
pm25_pct_change,0.0
urban_pop_pct_pct_change,0.0
pop_65_plus_pct_pct_change,0.0
unemployment_pct_change,0.0
med_beds_pct_change,0.0
infant_mortality_pct_change,0.0
total_fertility_pct_change,0.0
