year,life_exp,gdp_per_capita,health_exp_gdp,health_exp_percap,pm25,urban_pop_pct,pop_65_plus_pct,unemployment,med_beds,infant_mortality,total_fertility,life_exp_next_year,gdp_per_capita_lag1,health_exp_gdp_lag1,health_exp_percap_lag1,pm25_lag1,urban_pop_pct_lag1,pop_65_plus_pct_lag1,unemployment_lag1,med_beds_lag1,infant_mortality_lag1,total_fertility_lag1,gdp_per_capita_pct_change,health_exp_gdp_pct_change,health_exp_percap_pct_change,pm25_pct_change,urban_pop_pct_pct_change,pop_65_plus_pct_pct_change,unemployment_pct_change,med_beds_pct_change,infant_mortality_pct_change,total_fertility_pct_change
1995,-1.8780637765874018,-1.2468430078354296,-0.1683112451833456,-0.0863658109932024,0.20076964519231494,-1.6925638231524323,-1.3530658612452098,-2.0966678366609486,-0.3379159340782732,1.9508724918851201,0.03308432331103979,70.823,-0.18818881834858964,-0.07897789655791591,0.004241025237391074,0.2686058453643744,-0.027280185506457878,-0.20503674582801687,0.50840967014737,-0.3283700279776304,-0.2910189331601758,0.14284892262703716,-0.05097853082753066,-0.07737481774393744,0.21027069478306412,0.17774862803938293,-0.14789256787624333,-0.24507988627978358,-0.29113498572794544,0.11844363746499723,-0.333391634333994,0.2789863660632682
1996,-1.687103892141265,-1.2052811451991885,-0.1683112451833456,-0.0863658109932024,0.23531639552812678,-1.56358982713794,-1.2725669498239855,-1.894172753844599,-0.3893378624986981,1.812676093404474,-0.1555161305339249,71.227,-1.2553583441913552,-0.07897789655791591,0.004241025237391074,0.12099186937658334,-1.7120359963094878,-1.4014811175845077,-2.120741673895409,-0.2725903451586525,1.9656423654584774,-0.10329075943800761,0.4239530749447865,-0.2512683950317728,-0.4397676070794424,0.24787436771660099,1.7242773767160864,-0.24507988627978358,0.38415328292595413,-0.7136406343477634,2.542932434540436,-0.14277753495248352
1997,-1.519391297975521,-1.163403283056438,-0.1683112451833456,-0.0863658109932024,0.2812968071807403,-1.4354574815325767,-1.1901738765023495,-1.7085522612629458,-0.3893378624986981,1.665266601691785,-0.3052870791755151,71.601,-1.210782474469977,-0.07897789655791591,0.004241025237391074,0.15915047859504988,-1.5769219786502695,-1.312109778611727,-1.9131770941025579,-0.3283700279776304,1.8240109032020766,-0.335756014721661,0.14009228360353923,-0.2512683950317728,-0.4397676070794424,0.27070149186045983,1.4857349350992632,-0.25834495203592445,0.2941352557029765,-0.40996041927297144,2.240100774642447,-0.06981277777796631
1998,-1.3641326093171402,-1.125220955143998,-0.1683112451833456,-0.0863658109932024,0.3344113915497487,-1.3064182042071573,-1.0956777309644823,-1.6916776710282497,-0.4064785052769384,1.4994309235150092,-0.33302244003506815,71.952,-1.1658676894079307,-0.07897789655791591,0.004241025237391074,0.20993813714183673,-1.4426896795680981,-1.2206355070367247,-1.722909562625778,-0.3283700279776304,1.6729373434619157,-0.5203607762704454,-0.4169287461636613,-0.2512683950317728,-0.4397676070794424,0.2845422742296212,1.3249581915152275,0.06254768681722112,-0.3161660291887884,-0.5135689608408817,1.702189283581093,0.18509214398899346
1999,-1.2184219148810647,-1.0848935239428927,-0.1683112451833456,-0.0863658109932024,0.39036066003478176,-1.1783352468186972,-0.9966456788167027,-1.6748030807935543,-0.41504882670891025,1.3243821521061911,-0.28864586265978237,72.288,-1.1249164334553223,-0.07897789655791591,0.004241025237391074,0.2686058453643744,-1.307507272772542,-1.1157241870525976,-1.7056125143097067,-0.3469632555529673,1.502979588754234,-0.554546843223923,-0.45248468231061656,-0.2512683950317728,-0.4397676070794424,0.2895424201831105,1.1206374722880805,0.11206453914180625,-0.31634736134972663,-0.46217420985867974,1.299615050507498,0.33931073393821504
2000,-1.078938173198668,-1.0359620976633772,-0.2050616605864647,-1.2067927619498127,0.44484512403545096,-1.030291807605717,-0.9016421240234593,-1.6579284905588587,-1.1092455058161648,1.149333380697373,0.2549672101874676,72.675,-1.0816645143786543,-0.07897789655791591,0.004241025237391074,0.3304046036101338,-1.1733267131155027,-1.005777021986515,-1.6883154659936361,-0.3562598693871189,1.3235797365627933,-0.49984913609835757,-0.05097853082753066,-0.34504679205175554,-4.718999548819908,0.2859072667517882,1.5387663367731703,-0.11004457524301475,-0.3165275776204454,-4.656064378690235,1.0611067057827697,1.4022377245306028
2001,-0.9182827921537636,-0.9846465849613764,-0.715393595902587,-1.1988553655749576,0.5014258540292695,-0.9202912126516507,-0.8098779101905728,-0.7467006178852874,-1.1263861649637348,0.9466453295924254,-0.10559248098672899,73.034,-1.0291846507544729,-0.12163680252630836,-1.2643257505842596,0.39058541222656573,-1.0182354196899166,-0.9003023671229526,-1.6710184176775655,-1.1092862875719711,1.1441798843713524,0.1701977761898184,-0.1400619247591462,-1.5589071289945768,-0.25426474557508,0.2893614827870742,0.29533271161281455,-0.2918051782962435,2.7684742480572497,-0.564464529430272,0.08002035821720671,-0.4775083533397905
2002,-0.7692510562490557,-0.922247152896267,-0.468182315119833,-1.1704099600018516,0.5599027777618593,-0.7921634811703501,-0.7218252239396898,-0.004218647558673102,-1.0921048466685948,0.7439572784874781,-0.08895126447099619,73.385,-0.9741478101559116,-0.7140165566738084,-1.255338893101876,0.4530816512112087,-0.9029980634132437,-0.7984240868426636,-0.7369778086097358,-1.1278795329038576,0.9364537397286312,-0.2742210942054006,0.28710855226514276,0.4208106687055514,0.201757585382545,0.2923526911911005,0.6801498143326484,-0.4746328438042248,1.8223929440475077,-0.09729529694281115,-0.333391634333994,0.2789863660632682
2003,-0.6235403618129802,-0.8472139986957724,-0.40232873539683534,-1.1365592164221208,0.6103346925350049,-0.6631030130529102,-0.6385067949948754,0.5695174204209826,-1.0749641875210247,0.5504823206145735,-0.06676297578335329,73.727,-0.9072232601479707,-0.42706026881801684,-1.2231325128429889,0.5176723307778728,-0.768770598118187,-0.7006664112237516,0.02409231729738541,-1.0906930422400847,0.7287275950859101,-0.25370945403331274,0.6862469309541774,-0.07737481774393744,0.23858662983425818,0.2759268556179908,0.5790438625315787,-0.6742637542043037,1.1468047384499218,-0.2572424837995688,-0.5395904748852672,0.2904640852295125
2004,-0.48156583902911193,-0.7647119874898227,-0.6516772988048404,-1.0970021112570614,0.6427803956504715,-0.5529177302528901,-0.5647248849268647,0.417646108308721,-1.0149718805045298,0.34779426950962605,0.12738455023352152,74.085,-0.8267488084685883,-0.3506191827984295,-1.184806115387589,0.5733768965984268,-0.6335659917077031,-0.6081647931963644,0.6121919600437965,-1.0720997969081982,0.5304435479269488,-0.22636060047053,0.7056712059060196,-0.9047043302439044,0.26012269579509084,0.24055105615792477,-0.006909520606526537,-0.9942536841092737,-0.7478236750055346,0.11844363746499723,-1.3649225248389427,0.6473046325363889
